지점번호,지점명,일시,습도,최저습도(%rh)
108,서울,2016-10-15,60.6,28
108,서울,2016-10-16,74.1,55
108,서울,2016-10-17,76.1,53
108,서울,2016-10-18,70.9,41
108,서울,2016-10-19,67.6,35
108,서울,2016-10-20,61.3,36
108,서울,2016-10-21,58.6,45
108,서울,2016-10-22,59,45
108,서울,2016-10-23,66.3,53
108,서울,2016-10-24,54.8,37
108,서울,2016-10-25,84,57
108,서울,2016-10-26,81,64
108,서울,2016-10-27,65.4,44
108,서울,2016-10-28,61.8,40
108,서울,2016-10-29,40.3,31
108,서울,2016-10-30,31.9,13
108,서울,2016-10-31,59.9,42
108,서울,2016-11-01,43.6,27
108,서울,2016-11-02,53.1,25
108,서울,2016-11-03,62.8,34
108,서울,2016-11-04,67,55
108,서울,2016-11-05,77.4,65
108,서울,2016-11-06,59.4,42
108,서울,2016-11-07,71.3,50
108,서울,2016-11-08,58,43
108,서울,2016-11-09,41.1,22
108,서울,2016-11-10,55.5,36
108,서울,2016-11-11,63.3,30
108,서울,2016-11-12,62.1,33
108,서울,2016-11-13,74.8,61
108,서울,2016-11-14,78.5,59
108,서울,2016-11-15,44.3,29
108,서울,2016-11-16,44.3,21
108,서울,2016-11-17,56.4,37
108,서울,2016-11-18,58.4,42
108,서울,2016-11-19,71.1,51
108,서울,2016-11-20,48.6,19
108,서울,2016-11-21,40.5,31
108,서울,2016-11-22,43.3,28
108,서울,2016-11-23,37.5,22
108,서울,2016-11-24,37.8,24
108,서울,2016-11-25,43.9,28
108,서울,2016-11-26,69.6,42
108,서울,2016-11-27,81.3,71
108,서울,2016-11-28,57.9,32
108,서울,2016-11-29,40.8,25
108,서울,2016-11-30,59.8,42
108,서울,2016-12-01,47.6,23
108,서울,2016-12-02,48.4,22
108,서울,2016-12-03,58.8,41
108,서울,2016-12-04,60.1,39
108,서울,2016-12-05,69.1,49
108,서울,2016-12-06,38.5,16
108,서울,2016-12-07,58.3,44
108,서울,2016-12-08,70,50
108,서울,2016-12-09,65.8,43
